accumulated_rewards,total_staked,block_number,timestamp,deltaGeneratedRewards,deltaRewardsForLsDistribution,rewardsForLsDistribution
721961916713,35062021781571,3003971,1716278460000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003972,1716278472001,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003973,1716278484001,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003974,1716278496000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003975,1716278508000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003976,1716278520001,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003977,1716278532000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003978,1716278544001,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003979,1716278556002,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003980,1716278568001,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003981,1716278580000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003982,1716278592000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003983,1716278604000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003984,1716278616002,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003985,1716278628004,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003986,1716278640001,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003987,1716278652000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003988,1716278664000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003989,1716278676000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003990,1716278688000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003991,1716278700000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003992,1716278712000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003993,1716278724002,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003994,1716278736001,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003995,1716278748000,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003996,1716278760001,0,0.0,6.3879630061405078125e+11
721961916713,35062021781571,3003997,1716278772000,0,0.0,6.3879630061405078125e+11
721972693324,35062032558182,3003998,1716278784001,10776611,9.386386597102348374659752313444873147174746415487181109761709767455525034909363e+06,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3003999,1716278796000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004000,1716278808000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004001,1716278820000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004002,1716278832000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004003,1716278844010,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004004,1716278856002,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004005,1716278868001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004006,1716278880001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004007,1716278892001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004008,1716278904000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004009,1716278916000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004010,1716278928001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004011,1716278940000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004012,1716278952000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004013,1716278964000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004014,1716278976000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004015,1716278988004,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004016,1716279000000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004017,1716279012000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004018,1716279024000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004019,1716279036001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004020,1716279048000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004021,1716279060000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004022,1716279072000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004023,1716279084003,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004024,1716279096001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004025,1716279108002,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004026,1716279120000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004027,1716279132001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004028,1716279144001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004029,1716279156000,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004030,1716279168001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004031,1716279180001,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004032,1716279192002,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
721972693324,35062032558182,3004033,1716279204002,0,0.0,6.388056870006478835983746597523134448731471747464154871811097617097674555250315e+11
